age,job,marital,education,balance,duration,poutcome,FDcreated
40,9,1,1,0.0379477180820335,353,0,0
56,7,1,1,0.0365155016368188,107,0,0
37,9,1,1,0.08423599075678799,1210,0,1
56,4,2,2,0.03581744656268053,176,0,0
37,4,1,1,0.02413104178702099,211,0,0
58,1,0,1,0.030425572886578087,220,0,0
45,2,1,1,0.03207442711342191,652,0,1
50,9,1,1,0.02267475447718082,114,0,0
46,0,1,1,0.08234642788368958,64,1,0
35,7,0,1,0.02512998266897747,295,1,0
40,1,1,1,0.03176150587329097,408,0,0
43,9,1,2,0.03712930868476796,82,0,0
40,6,1,2,0.059491141921817835,41,0,0
36,3,1,0,0.0747159637974196,139,0,0
44,4,1,2,0.0317735413056037,65,0,0
37,1,1,1,0.03137637203928365,119,0,0
37,9,1,1,0.025021663778162912,68,0,0
41,9,1,1,0.06209079530136723,121,1,0
42,2,1,2,0.04974244174850761,228,0,0
53,9,1,1,0.024323608704024648,52,0,0
44,9,1,1,0.15371654149817063,67,0,0
41,0,1,1,0.07466782206816869,164,0,0
41,1,1,0,0.040258521086077415,290,2,0
48,4,1,1,0.07581118813787792,271,0,0
58,4,1,2,0.1350736568457539,52,1,0
56,9,1,1,0.02976362410937801,208,2,0
34,1,1,1,0.029402561139996147,47,1,0
39,0,2,2,0.026080781821683035,346,1,0
36,9,1,1,0.024528211053341038,231,1,0
47,4,0,2,0.02782591950702869,116,1,0
42,0,2,1,0.01970200269593684,104,2,0
37,9,1,1,0.02267475447718082,173,0,0
35,4,2,1,0.08598112844213364,59,0,0
33,9,2,1,0.04396543423839784,273,0,0
46,4,1,2,0.07443914885422684,50,0,0
46,9,1,1,0.02349316387444637,111,0,0
36,0,0,1,0.028138840747159638,165,0,0
32,1,2,1,0.02331263238975544,276,0,0
38,4,2,2,0.04090843443096476,134,0,0
37,3,2,2,0.029426632004621606,188,0,0
59,2,1,1,0.051908819564798765,79,0,0
40,7,0,1,0.03657567879838244,175,0,0
59,1,1,0,0.02284325052955902,319,0,0
36,4,2,2,0.02267475447718082,300,0,0
51,1,1,0,0.037045060658578856,714,0,0
45,1,2,1,0.02376997881763913,149,0,0
38,4,2,2,0.027813884074715963,253,0,0
42,1,1,1,0.04624013094550356,129,0,0
30,9,2,2,0.022710860774119008,54,0,0
51,6,1,2,0.024431927594839208,150,0,0
37,4,1,2,0.06804833429616791,106,0,0
41,7,1,1,0.02804255728865781,296,2,0
33,0,0,1,0.030630175235894473,411,1,0
30,9,2,1,0.08028836895821298,266,0,0
36,9,1,1,0.038862410937800886,82,0,0
58,4,1,2,0.02267475447718082,265,0,0
42,1,1,0,0.050031292124013096,253,0,0
41,1,1,1,0.03591373002118236,397,0,0
43,9,1,1,0.03186982476410553,164,0,0
34,4,2,2,0.04065569035239746,596,1,1
48,7,1,1,0.057300693240901215,77,0,0
30,9,2,1,0.019003947621798575,37,0,0
31,9,1,2,0.022987675717311765,419,1,1
43,9,2,1,0.03091902561139996,78,0,0
34,0,2,1,0.022795108800308106,162,0,0
35,4,1,2,0.03520363951473137,586,1,0
36,0,2,1,0.04586703254380897,288,1,0
44,4,1,0,0.045301367225110724,34,0,0
45,9,0,1,0.0932264586943963,352,1,0
36,4,1,2,0.02267475447718082,103,0,0
33,1,1,1,0.02984787213556711,77,0,0
47,0,1,1,0.03265212786443289,48,0,0
47,1,1,1,0.061633448873483536,38,0,0
35,9,1,1,0.025346620450606587,233,0,0
39,0,1,1,0.06759098786828423,515,0,0
39,6,1,2,0.029715482380127094,48,0,0
31,7,2,1,0.047202965530521855,239,0,0
37,10,2,2,0.03851338340073175,389,0,0
50,9,1,1,0.0184262468707876,162,0,0
39,4,0,2,0.08296023493163875,255,0,0
56,0,0,1,0.02267475447718082,100,0,0
30,0,0,1,0.0236736953591373,118,0,0
45,1,1,0,0.024443963027151936,226,0,0
33,1,1,1,0.02456431735027922,110,0,0
45,9,1,1,0.06353504717889466,92,0,0
39,3,1,0,0.03102734450221452,91,1,0
37,1,2,1,0.030979202772963604,105,0,0
37,7,2,1,0.023324667822068167,328,0,0
33,9,2,2,0.024829096861159253,432,1,0
40,7,2,1,0.02659830541113037,124,0,0
45,9,1,1,0.04001781243982284,93,1,0
39,9,1,1,0.0284999037165415,61,1,0
38,1,1,1,0.01920854997111496,68,0,0
41,9,1,1,0.048225977277103795,232,0,0
44,9,1,1,0.04555411130367803,143,0,0
41,1,1,1,0.04619198921625265,65,2,0
45,4,2,2,0.02286732139418448,100,0,0
34,4,0,2,0.0919266320046216,32,0,0
52,0,0,1,0.05537502407086463,114,0,0
43,2,2,0,0.023914404005391875,53,0,0
37,4,1,0,0.08799104563835933,201,0,0
37,4,2,2,0.0436525129982669,192,0,0
48,1,1,0,0.03581744656268053,79,0,0
35,4,1,2,0.08216589639899866,295,0,0
42,4,1,2,0.04806951665703832,67,0,0
34,4,1,2,0.023432986712882728,83,0,0
32,1,2,1,0.024094935490082802,216,2,0
50,6,2,2,0.022927498555748122,157,0,0
30,4,1,2,0.033506643558636626,123,0,0
32,0,1,1,0.0441580011554015,51,1,0
55,7,1,1,0.06535239745811669,588,0,0
32,4,1,2,0.04273782014249952,164,0,0
32,7,2,1,0.049766512613133064,131,0,0
31,0,2,1,0.047660311958405546,178,1,0
46,1,2,0,0.05933468130175236,84,1,0
44,9,1,1,0.029089639899865204,127,0,0
36,1,1,1,0.0575052955902176,91,0,0
34,4,1,2,0.022807144232620837,123,0,0
32,4,1,2,0.06006884267282881,165,0,0
48,1,1,1,0.05887733487386867,163,0,0
48,4,2,2,0.030473714615829,290,0,0
39,7,1,1,0.02475688426728288,96,0,0
47,0,2,1,0.022903427691122667,90,0,0
52,1,1,2,0.026249277874061238,62,0,0
59,9,0,1,0.03226699403042557,319,0,0
36,7,2,1,0.04051126516464471,177,1,0
38,2,1,2,0.03083477758521086,82,0,0
54,1,1,1,0.02876468322742153,172,0,0
51,4,1,2,0.016464471403812825,120,0,0
44,4,2,2,0.0389948006932409,264,1,0
47,1,1,0,0.04112507221259388,273,0,0
34,1,1,0,0.02869247063354516,240,0,0
54,0,1,1,0.06755488157134604,597,1,0
30,1,1,1,0.025635470826112075,166,0,0
43,4,2,2,0.022000770267668016,146,0,0
52,7,1,1,0.04983872520700944,102,0,0
36,1,1,1,0.027512998266897747,86,0,0
39,4,1,1,0.028897072982861545,387,0,0
32,4,2,2,0.02267475447718082,244,1,0
46,4,1,2,0.02267475447718082,716,1,1
45,4,2,2,0.09120450606585788,145,0,0
54,6,1,2,0.02710379356826497,74,0,0
41,2,1,1,2.4070864625457346e-05,17,1,0
36,2,2,1,0.026237242441748507,67,0,0
38,9,1,1,0.028788754092046988,722,0,0
36,9,2,0,0.048779607163489315,133,1,0
44,9,1,1,0.054279799730406315,170,0,0
59,2,1,0,0.024167148083959176,531,0,0
36,4,1,2,0.02894521471211246,135,1,0
40,0,2,1,0.057023878297708455,354,0,0
30,7,0,1,0.02267475447718082,174,0,0
34,1,1,1,0.03389177739264394,148,1,0
42,4,2,2,0.036070190641247835,89,0,0
33,4,1,2,0.04099268245715386,171,0,0
44,7,1,1,0.019834392451376852,218,2,0
36,6,2,2,0.0655208935104949,658,0,0
42,1,0,1,0.03348257269401117,136,0,0
36,9,0,1,0.029366454843057964,154,0,0
53,6,1,1,0.035504525322549586,110,0,0
38,9,1,1,0.03143654920084729,286,1,0
52,6,1,2,0.08706431735027922,68,2,0
40,9,1,1,0.11068987098016561,241,0,0
30,9,2,2,0.02267475447718082,342,0,0
45,7,1,1,0.041329674561910265,143,0,0
38,7,1,1,0.07553437319468516,23,0,0
47,0,0,0,0.03585355285961872,171,1,0
33,1,1,1,0.026622376275755824,160,0,0
41,3,0,0,0.02293953398806085,238,1,0
51,4,1,2,0.042075871365299444,61,0,0
33,9,1,2,0.2327532254958598,168,0,0
32,1,1,1,0.028584151742730598,131,0,0
47,9,1,1,0.032616021567494706,195,1,0
32,7,1,1,0.06887877912574619,100,0,0
51,4,0,2,0.04598738686693626,185,1,0
40,4,2,1,0.14201810129019835,411,0,0
56,5,1,1,0.03143654920084729,163,0,0
32,4,1,1,0.09749903716541498,486,0,0
41,0,1,1,0.03864577315617177,425,0,0
36,9,1,1,0.02052041209320239,476,0,0
46,1,1,1,0.03401213171577123,240,0,0
34,1,1,1,0.07069612940496822,591,0,0
34,9,2,2,0.04731128442133641,72,0,0
44,1,0,1,0.020460234931638746,825,1,0
30,4,1,2,0.0369367417677643,342,0,0
30,0,2,1,0.05639803581744656,285,0,0
43,7,1,1,0.028788754092046988,200,0,0
51,4,2,2,0.09524841132293473,157,0,0
45,9,0,1,0.022506258424802618,39,0,0
46,4,0,2,0.09812487964567687,249,0,0
30,1,1,1,0.03628682842287695,189,0,0
40,0,0,1,0.02747689196995956,166,0,0
46,7,0,1,0.0330733679953784,105,0,0
49,6,1,2,0.025105911804352014,139,1,0
31,4,2,2,0.06049008280377431,235,0,0
53,5,1,1,0.03638311188137878,180,0,0
48,1,1,0,0.025250336992104758,246,0,0
34,1,1,1,0.039668784902753704,149,0,0
35,9,1,1,0.04697429231658001,83,0,0
52,4,1,2,0.038260639322164454,121,1,0
31,4,1,2,0.036683997689196994,141,0,0
36,4,1,2,0.027115829000577702,193,0,0
45,1,1,1,0.022879356826497207,66,0,0
31,0,1,1,0.0269473329481995,530,0,0
35,7,1,1,0.02346909300982091,110,1,0
51,6,1,0,0.023950510302330058,366,0,0
56,5,1,2,0.032772482187560174,630,1,0
43,4,1,1,0.028463797419603313,164,1,0
30,9,1,1,0.018991912189485847,372,0,0
44,7,1,1,0.03598594261505873,178,0,0
41,2,1,2,0.024732813402657424,209,0,0
58,6,1,2,0.1191267090313884,697,0,0
55,1,0,1,0.07145436164067014,113,0,0
32,0,2,2,0.04172684382823031,100,0,0
42,7,1,2,0.027633352590025032,142,0,0
30,4,1,2,0.026453880223377624,364,2,0
37,9,1,1,0.11844068938956287,706,0,0
39,4,2,1,0.07416233391103408,43,1,0
32,7,0,1,0.036587714230695165,81,0,0
39,4,2,2,0.042918351627190446,147,0,0
31,4,2,2,0.06630319661082226,112,0,0
32,1,2,1,0.043387733487386865,184,0,0
45,4,1,1,0.02313210090506451,159,0,0
33,4,2,2,0.029185923358367033,140,0,0
30,4,2,2,0.023324667822068167,192,0,0
31,4,1,2,0.0819372231850568,316,0,0
54,4,1,2,0.10120595031773541,133,0,0
33,4,1,2,0.067157712305026,305,0,0
48,10,1,1,0.04447092239553245,137,0,0
33,4,1,2,0.02267475447718082,295,0,0
31,1,2,1,0.018269786250722127,313,1,0
32,1,1,1,0.04781677257847102,192,2,0
40,4,1,2,0.17202243404583092,140,0,0
52,5,1,1,0.027777777777777776,143,0,0
31,9,2,1,0.036948777200077026,174,0,0
35,4,1,2,0.05638600038513383,70,0,0
32,4,2,2,0.05477325245522819,197,2,0
30,0,2,1,0.027272289620643174,369,0,0
31,1,1,0,0.07957827845176199,114,1,0
32,2,1,2,0.03427691122665126,130,0,0
36,6,1,1,0.02494945118428654,136,0,0
40,7,1,1,0.03424080492971308,589,1,0
52,6,1,1,0.020255632582322356,905,0,0
45,4,0,1,0.030425572886578087,418,2,1
37,7,2,1,0.023276526092817253,244,1,0
36,0,2,2,0.03048575004814173,224,1,0
43,4,1,2,0.17966493356441363,215,0,0
35,4,0,2,0.03195407279029463,110,0,0
30,4,1,2,0.023709801656075485,155,1,0
39,9,1,1,0.0647265549778548,139,0,0
37,6,1,2,0.032351242056614674,94,1,0
49,4,1,2,0.10226506836125554,106,0,0
30,1,0,1,0.07792942422491816,89,1,0
34,1,1,1,0.02700751010976314,46,0,0
33,9,1,1,0.037526477951088,109,0,0
45,9,0,1,0.03842913537454266,298,0,0
30,4,2,2,0.02549104563835933,206,0,0
32,10,2,2,0.04206383593298671,175,0,0
31,1,1,1,0.041570383208164835,133,1,0
40,6,1,2,0.05850423647217408,375,0,0
46,1,1,1,0.022855285961871752,46,0,0
30,1,2,1,0.028054592720970536,426,0,0
34,1,1,0,0.05264298093587522,185,0,0
46,6,1,2,0.051812536106296936,1084,0,1
40,1,1,0,0.07813402657423454,111,0,0
53,5,1,2,0.04015020219526285,442,0,0
46,9,0,1,0.022361833237049874,201,1,0
38,9,1,1,0.07117754669747738,75,0,0
43,4,1,2,0.0398733872520701,1015,1,1
32,9,0,1,0.022891392258809935,20,0,0
40,8,1,1,0.025803966878490275,52,0,0
35,6,2,2,0.029149817061428846,308,0,0
32,9,1,1,0.028981321009050647,100,0,0
33,6,1,2,0.021435104948969767,149,0,0
33,4,2,2,0.025093876372039282,171,0,0
39,3,1,1,0.04005391873676102,100,2,0
46,1,1,1,0.13516994030425572,138,1,0
44,7,1,0,0.03664789139225881,402,0,0
59,3,1,0,0.033927883689582126,103,0,0
45,4,2,1,0.024383785865588294,258,0,0
37,1,1,1,0.03669603312150972,62,2,0
58,1,0,0,0.12158193722318505,141,0,0
33,9,2,2,0.02446803389177739,424,1,1
42,6,1,1,0.06132052763335259,87,0,0
50,9,1,1,0.06057433082996341,69,1,0
41,3,2,1,0.048960138648180246,98,0,0
40,10,1,1,0.02267475447718082,332,0,0
43,9,0,1,0.1049369343346813,187,0,0
44,9,2,1,0.037057096090891584,187,0,0
58,1,1,0,0.030257076834199884,59,0,0
43,4,1,2,0.04666137107644907,37,0,0
58,1,1,1,0.029775659541690737,136,0,0
39,4,1,1,0.0950317735413056,140,0,0
51,1,1,0,0.03306133256306566,169,1,0
52,1,1,1,0.10963075293664548,205,0,0
54,6,0,2,0.03859763142692085,83,0,0
41,1,1,1,0.03484257654534951,113,1,0
53,9,1,1,0.05659060273445022,131,0,0
50,1,0,1,0.02511794723666474,265,1,0
48,1,1,1,0.02024359715000963,565,0,0
59,5,1,1,0.4192181783169651,243,0,0
33,2,1,1,0.022698825341806277,17,0,0
44,7,0,2,0.05010350471788946,105,0,0
52,1,0,0,0.07069612940496822,1548,1,0
47,0,0,1,0.04601145773156172,150,0,0
39,4,1,1,0.0318577893317928,360,1,0
32,9,1,2,0.027874061236279606,164,1,0
45,1,1,1,0.05789042942422492,482,0,0
42,4,1,2,0.03209849797804737,77,0,0
30,1,1,0,0.03592576545349509,779,0,0
59,5,1,1,0.05024792990564221,190,0,0
46,2,1,0,0.12946514538802234,172,0,0
40,9,1,1,0.03058203350664356,178,0,0
37,1,1,0,0.025719718852301173,59,0,0
33,1,1,2,0.09654823801270941,384,0,0
55,5,1,1,0.07019064124783363,149,0,0
46,10,0,1,0.06304159445407279,522,2,1
45,6,1,1,0.03266416329674562,180,0,0
33,6,2,1,0.022722896206431736,136,0,0
47,10,1,1,0.026899191218948584,174,0,0
35,1,1,1,0.023709801656075485,127,0,0
40,1,1,1,0.08108270749085307,259,0,0
38,9,2,1,0.03331407664163297,295,0,0
59,5,1,0,0.03159300982091277,194,0,0
34,3,1,2,0.08234642788368958,175,0,0
46,2,2,2,0.03964471403812825,93,0,0
36,6,1,2,0.22041690737531291,234,0,0
38,1,1,0,0.02496148661659927,623,1,1
52,6,0,1,0.038212497592913536,559,0,0
30,2,1,1,0.034060273445022146,1065,1,0
57,1,1,1,0.0941050452532255,90,0,0
35,0,1,1,0.061031677257847104,171,0,0
59,4,1,0,0.056000866551126516,104,0,0
33,1,1,0,0.06494319275948392,251,0,0
56,7,1,0,0.02801848642403235,88,0,0
38,4,1,2,0.08805122279992297,408,0,0
40,0,1,1,0.023481128442133643,359,0,0
37,1,1,0,0.0656893895628731,178,0,0
36,0,2,2,0.054231658001155404,640,0,0
50,4,1,1,0.05769786250722126,433,0,0
38,1,1,0,0.04963412285769305,551,0,0
55,10,1,1,0.07963845561332564,70,1,0
37,9,1,1,0.09370787598690546,191,0,0
34,0,1,2,0.0334946081263239,377,2,0
50,0,1,1,0.02468467167340651,47,0,0
56,0,0,1,0.01751155401502022,120,0,0
43,4,1,0,0.12096813017523589,202,0,0
40,1,1,1,0.043231272867321396,382,1,0
34,4,1,2,0.03478239938378586,783,1,1
37,4,2,2,0.08694396302715193,101,0,0
53,1,2,1,0.05192085499711149,73,0,0
46,9,0,1,0.024010687463893704,178,1,0
40,0,2,1,0.03066628153283266,188,2,0
50,4,1,2,0.017018101290198345,130,0,0
30,4,1,2,0.0521735990756788,191,0,0
58,5,0,0,0.05322068168688619,680,0,1
54,5,1,1,0.054279799730406315,221,0,0
47,1,1,1,0.067157712305026,635,0,0
39,4,1,2,0.17739023685730793,108,0,0
39,0,1,1,0.010855959946081264,287,1,0
39,4,2,2,0.03029318313113807,105,0,0
39,1,1,1,0.03166522241478914,209,1,0
50,1,1,2,0.04414596572308877,1184,0,0
39,4,0,2,0.038501347968419024,1337,0,0
33,4,2,2,0.033783458501829386,1307,0,0
45,4,1,2,0.10877623724244175,93,0,0
59,2,1,0,0.02267475447718082,207,0,0
53,4,1,2,0.05370209897939534,299,0,0
37,4,1,1,0.028812824956672443,67,0,0
54,6,1,0,0.02600856922780666,300,0,0
42,1,1,0,0.032206816868861926,611,1,0
39,4,0,2,0.07914500288850375,214,2,0
39,3,1,1,0.0724533025226266,194,0,0
31,7,1,1,0.027428750240708646,196,0,0
33,4,1,2,0.030148757943385326,1435,0,0
49,1,1,1,0.07393366069709224,146,0,0
40,4,1,2,0.06301752358944733,639,2,1
37,3,0,1,0.0253947621798575,380,1,0
35,4,1,2,0.02931831311380705,314,0,0
35,7,1,0,0.02304785287887541,131,0,0
44,1,1,1,0.10079674561910264,126,0,0
46,6,0,2,0.03381956479876757,168,1,0
45,2,1,2,0.0670734642788369,517,0,0
44,1,2,0,0.041847198151357595,201,2,0
58,1,1,1,0.04081215097246293,255,1,0
37,9,1,1,0.08630608511457731,599,0,0
53,2,1,0,0.03511939148854227,854,1,0
55,2,1,2,0.03019689967263624,88,0,0
38,2,1,2,0.03348257269401117,80,0,0
35,4,1,2,0.03310947429231658,298,2,0
31,4,1,2,0.03740612362796072,75,2,0
36,0,2,1,0.14352253032928944,91,1,0
44,9,1,2,0.02267475447718082,286,0,0
30,9,0,1,0.05998459464663971,125,0,0
32,9,1,1,0.026814943192759483,179,0,0
35,4,0,2,0.024431927594839208,392,2,0
32,9,1,2,0.07868765646062006,276,0,1
34,0,2,1,0.026237242441748507,68,0,0
55,6,1,1,0.16901357596764877,142,0,0
38,9,2,2,0.08432023878297708,370,0,0
34,4,2,2,0.030774600423647217,271,0,0
37,1,1,0,0.12058299634122857,358,0,0
30,4,1,2,0.02503369921047564,68,1,0
41,1,1,0,0.05350953206239168,157,0,0
41,4,2,2,0.025021663778162912,125,0,0
34,2,1,1,0.06021326786058155,505,0,0
35,6,2,2,0.033927883689582126,71,0,0
30,4,1,1,0.15977036395147315,319,1,0
30,1,1,0,0.0943577893317928,405,0,0
34,0,1,1,0.06100760639322164,93,0,0
46,1,1,0,0.05346139033314077,107,1,0
31,7,2,1,0.028463797419603313,106,0,0
39,1,1,1,0.030618139803581745,180,0,0
52,4,1,0,0.023360774119006354,45,0,0
42,1,1,1,0.022710860774119008,47,0,0
40,9,2,1,0.029559021760061623,67,0,0
33,9,1,1,0.059635567109570575,46,0,0
32,1,1,0,0.024925380319661083,485,0,0
33,1,1,0,0.08466926632004622,73,0,0
32,1,1,0,0.0477686308492201,146,0,0
39,9,2,1,0.03596187175043328,333,2,0
39,7,0,1,0.033410360100134796,34,0,0
45,4,1,2,0.023830155979202773,167,0,0
32,4,2,2,0.029583092624687078,171,0,0
50,4,1,1,0.02267475447718082,152,0,0
33,9,1,2,0.10503321779318313,755,1,1
47,9,1,1,0.040306662815328326,26,0,0
30,7,1,1,0.029727517812439822,148,0,0
32,1,1,1,0.02267475447718082,189,1,0
41,1,1,0,0.1157688234161371,220,0,0
37,2,1,2,0.02585210860774119,276,0,0
30,1,1,1,0.028704506065857886,994,0,1
38,6,1,1,0.025262372424417485,70,0,0
48,7,0,1,0.08172058540342769,200,0,0
31,7,2,1,0.033506643558636626,321,1,0
38,1,1,0,0.027886096668592337,81,0,0
35,1,1,1,0.0865106874638937,340,0,0
34,7,0,1,0.03226699403042557,88,0,0
31,9,1,1,0.028090699017908723,111,0,0
39,1,2,1,0.028921143847487,149,0,0
31,2,1,1,0.041197284806470245,67,0,0
32,7,1,1,0.1612266512613133,301,0,0
52,2,1,2,0.03609426150587329,69,0,0
31,1,2,1,0.09015742345465048,183,0,0
30,7,1,0,0.03489071827460043,24,0,0
50,6,1,1,0.04527729636048527,45,0,0
41,1,2,1,0.02385422684382823,180,0,0
46,9,1,2,0.02267475447718082,531,0,1
37,0,2,1,0.033049297130752935,85,0,0
39,1,0,0,0.038525418833044486,543,1,1
46,9,0,1,0.06425717311765838,120,0,0
32,10,2,1,0.03770700943577893,160,1,0
44,7,1,1,0.019906605045253226,352,0,0
36,10,1,1,0.012179857500481417,153,0,0
50,1,1,0,0.05384652416714809,281,0,0
55,4,1,2,0.1438113807047949,197,0,0
32,1,2,1,0.0612001733102253,98,0,0
34,4,1,2,0.025960427498555746,308,2,0
35,9,2,1,0.01694588869632197,57,0,0
44,7,1,1,0.019196514538802233,487,1,0
53,1,1,1,0.2817013287117273,83,0,0
55,0,0,1,0.02467263624109378,324,0,0
37,9,2,1,0.01940111688811862,104,0,0
33,2,1,2,0.07641295975351435,161,0,0
43,1,1,1,0.031087521663778164,1258,1,1
33,9,0,1,0.02937849027537069,89,0,0
40,9,1,1,0.07612410937800886,153,0,0
53,1,1,1,0.06858992875024071,75,0,0
47,1,1,0,0.022698825341806277,661,0,0
33,0,1,1,0.055302811476988255,184,0,0
38,7,0,0,0.02267475447718082,250,0,0
55,0,1,1,0.035937800885807815,195,0,0
57,7,2,1,0.04958598112844213,51,0,0
40,0,1,1,0.11547997304063162,190,0,0
34,6,1,2,0.04126949740034662,895,0,0
32,4,2,2,0.17535624879645678,176,0,0
38,2,1,2,0.036034084344309644,888,0,1
51,9,1,1,0.020833333333333332,72,0,0
37,2,1,2,0.03273637589062199,223,0,0
44,9,1,1,0.11746581937223186,212,0,0
